Provincia,Población,Latitud,Longitud,Altitud
Granada,Ogíjares,37.11991,-3.607937,721.7737
Granada,Orce,37.72141,-2.479451,932.2527
Granada,Órgiva,36.90224,-3.42399,465.8732
Granada,Otívar,36.81491,-3.681497,266.5227
Granada,Otura,37.09431,-3.635073,783.0234
Granada,Padul,37.02432,-3.626719,757.9304
Granada,Pampaneira,36.94004,-3.361339,1054.911
Granada,Pedro Martínez,37.50168,-3.230659,1036.34
Granada,Peligros,37.23122,-3.629415,687.5328
Granada,Peza (La),37.2756,-3.284761,996.5889
Granada,Píñar,37.44337,-3.439418,912.619
Granada,Pinar (El),37.44337,-3.439418,912.619
Granada,Pinos Genil,37.16339,-3.502635,777.8843
Granada,Pinos Puente,37.25146,-3.750995,575.2888
Granada,Polícar,37.25764,-3.232102,1146.402
Granada,Polopos,36.79553,-3.297135,783.9265
Granada,Pórtugos,36.94241,-3.310386,1312.607
Granada,Puebla de Don Fadrique,37.9579,-2.43508,1160.896
Granada,Pulianas,37.22264,-3.608163,728.1589
Granada,Purullena,37.31759,-3.190274,907.9955
Granada,Quéntar,37.19201,-3.468192,855.6412
Granada,Rubite,36.80884,-3.348044,778.7302
Granada,Salar,37.14882,-4.067732,545.4207
Granada,Salobreña,36.74626,-3.587108,20.95912
Granada,Santa Cruz del Comercio,37.06024,-3.976717,737.3204
Granada,Santa Fe,37.18936,-3.719076,582.6545
Granada,Soportújar,36.92839,-3.405133,944.0207
Granada,Sorvilán,36.79442,-3.267524,769.9988
Granada,Taha (La),36.93333,-3.316667,1100.905
Granada,Torre-Cardela,37.50457,-3.356015,1219.53
Granada,Torvizcón,36.87788,-3.298552,667.7946
Granada,Trevélez,37.00245,-3.266871,1542.32
Granada,Turón,36.86357,-3.057771,698.5202
Granada,Ugíjar,36.96075,-3.054754,547.5222
Granada,Valle (El),37.28611,-3.008889,1245.152
Granada,Valle del Zalabí,37.28611,-3.008889,1245.152
Granada,Válor,36.99589,-3.083123,901.9865
Granada,Vegas del Genil,37.16667,-3.7,615
Granada,Vélez de Benaudalla,36.83195,-3.516209,170.5154
Granada,Ventas de Huelma,37.06853,-3.822133,858.721
Granada,Villamena,36.99035,-3.588935,762.7578
Granada,Villanueva de las Torres,37.55663,-3.090193,645.9392
Granada,Villanueva Mesía,37.2142,-4.011248,493.5079
Granada,Víznar,37.23108,-3.553835,1074.323
Granada,Zafarraya,36.97551,-4.144421,896.4373
Granada,Zagra,37.25303,-4.168132,680.0646
Granada,Zubia (La),37.12061,-3.584668,744.7736
Granada,Zújar,37.54015,-2.842817,771.5205
